,Player,norm-average Total Runs Scored per Innings,norm-average Dot Balls as Bowler per Innings,norm-average player of the match,norm-average experience,norm-weighted player value overall,norm-weighted player value as opponent,norm-weighted player value as teammate,experience
5364,Kushal Malla,5.319067884236533,2.8897990284789024,4.8192771084337345,10.411311053984576,7.020649069957381,6.008119386630823,5.678354968470498,82
5365,Kycia A Knight,4.981116057337527,0.0,1.2048192771084336,14.138817480719794,4.63780326945429,2.527102869663744,4.763997165607026,111
5366,Kyshona A Knight,3.7517550638353447,0.030479093246975897,0.0,11.568123393316194,3.2503189317228545,1.6727043391131804,3.4078653776328265,91
5367,Kyungsik Kim,0.039182820510029706,0.09905705305267168,0.0,0.2570694087403599,0.09528890218850829,0.12119482072413781,0.049216633180053815,3
5368,L Ablish,0.0,0.05333841318220783,0.0,0.2570694087403599,0.059160743200524175,0.08214770271925291,0.02570694087403599,3
5369,L Adam,0.0,0.011429659967615963,0.0,0.0,0.004863668665274216,0.009761779501221226,0.0,1
5370,L Agatha,0.22203598289016838,0.0,0.0,1.2853470437017995,0.27680119166525025,0.18296365856776933,0.26175629410428103,11
5371,L Alder,0.0,0.022859319935231926,0.0,0.0,0.009727337330548431,0.019523559002442452,0.0,1
5372,L Anyait,0.029387115382522283,0.7353081245832936,0.0,1.7994858611825193,0.5806464900491848,0.8841569365734426,0.1975808553477653,15
5373,L Balaji,0.48978525637537135,5.744674095945645,3.6144578313253013,12.596401028277636,5.977731948753075,8.242930571749453,2.637848606050577,99
5374,L Banks,1.3273180447772566,0.027304187700415906,0.0,2.8277634961439584,0.9775328959953724,0.42583985543534314,1.0791671764807498,23
5375,L Bardsley,0.016326175212512378,0.0,0.0,0.7712082262210798,0.11633815342393652,0.1097781951406616,0.08691652774961539,7
5376,L Barnett,1.1983412605984087,0.4533765120487665,7.228915662650603,0.7712082262210798,3.8883710557493862,3.5840112011987917,2.964800277776334,7
5377,L Berthe,0.035917585467527234,0.015239546623487948,0.0,0.8997429305912595,0.149391598522368,0.14109026699906682,0.1115248443396423,8
5378,L Botha,0.3297887392927501,0.030479093246975897,0.0,0.38560411311053977,0.20800037700256566,0.08092050957358737,0.23643365488670404,4
5379,L Bowe,0.006530470085004951,0.320030479093247,0.0,1.6709511568123396,0.3759751846389152,0.5111825821722945,0.17101339773223695,14
5380,L Bruce,3.1378908758448794,1.0667682636441567,4.8192771084337345,4.755784061696658,4.514536922872708,3.6460754584878536,3.8040960642067136,38
5381,L Bull,0.30693209399523275,0.06857795980569577,1.2048192771084336,1.1568123393316196,0.8365645974408301,0.7377405951366011,0.6612862734628316,10
5382,L Canessane,1.1885455554709012,0.0,2.4096385542168672,3.084832904884318,1.9687004759804494,1.4681180313992088,1.744502190036033,25
5383,L Cardoso,0.10448752136007922,0.5562434517573102,1.2048192771084336,2.185089974293059,1.1037892825205904,1.3006141140429222,0.6426472933778835,18
5384,L Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5385,L Cheatle,0.31346256408023765,3.1812553576531095,0.0,10.411311053984576,2.963885708334157,4.199034262238839,1.2292086438466003,82
5386,L Chetri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5387,L Chilia,0.09795705127507427,0.2819316125345271,0.0,1.7994858611825193,0.41689956389869365,0.4969396830250006,0.2387228168832965,15
5388,L Chipanga,0.009795705127507427,0.40003809886655867,0.0,0.6426735218508998,0.26555583127276394,0.43314411182662754,0.07014477526159445,6
5389,L Cripps,0.0,0.022859319935231926,0.0,0.38560411311053977,0.06442277147441516,0.07441265657277323,0.03856041131105398,4
5390,L Croospulle,1.0138554806970186,0.0019049433279359936,0.0,1.7994858611825193,0.6874823777404645,0.25777608524508056,0.788261874536463,15
5391,L Dalbina,0.15346604699761637,0.3657491189637108,0.0,0.6426735218508998,0.3121009344755279,0.4038587733229639,0.1563469803836598,6
5392,L Delany,7.039846751635339,4.328031241070579,6.024096385542169,16.966580976863753,9.807414266596222,8.684093924648401,7.727795064330229,133
5393,L Delport,0.8043362321364431,8.652252595485285,1.2048192771084336,6.555269922879177,5.466576463558885,8.837284366538372,1.4995745147023138,52
5394,L Denny,0.30366685895273027,0.45718639870463856,0.0,1.2853470437017995,0.5060843639572339,0.5734348386166184,0.31073481974181816,11
5395,L Dobson,2.3574997006867875,0.007619773311743974,0.0,7.069408740359897,2.0091800454154556,1.0128079751235453,2.1214406944480624,56
5396,L Doneathy,0.692229829010525,0.44194685208115053,0.0,2.185089974293059,0.7925675383141894,0.6884936936124286,0.633846894835621,18
5397,L Egging,0.0032652350425024755,0.1257262596437756,1.2048192771084336,0.0,0.5675771348022247,0.6218821999317148,0.36340492415803155,1
5398,L Embuldeniya,0.3297887392927501,7.041305521160744,0.0,2.313624678663239,3.4647978662381544,6.34313307925766,0.42923571144197387,19
5399,L Emilio,0.2840754486977154,0.0,0.0,1.7994858611825193,0.37612812070797735,0.25614912199487705,0.35039385533688117,15
5400,L Enoch,0.0,0.011429659967615963,0.0,0.0,0.004863668665274216,0.009761779501221226,0.0,1
5401,L Erdenebulgan,0.06530470085004951,0.44194685208115053,0.0,1.6709511568123396,0.45286454355883765,0.6153082301853209,0.20627793619126364,14
5402,L Evile,0.0032652350425024755,0.13334603295551958,0.0,0.5141388174807198,0.13105950364726213,0.18707289094135537,0.05337302277357347,5
5403,L Filer,0.8587568161781511,5.703400323840365,1.2048192771084336,9.897172236503856,4.708934660952327,6.794450767499497,1.8664170964898061,78
5404,L Gharasim,0.0,0.04571863987046385,0.0,0.6426735218508998,0.11061373156754145,0.13052894728876957,0.06426735218508998,6
5405,L Goodall,3.5901259292314722,0.0,2.4096385542168672,7.969151670951155,3.683454952004892,2.163379933956732,3.67388229089906,63
5406,L Grant,0.0,0.0,0.0,0.5141388174807198,0.07292724552515566,0.07318546342710773,0.05141388174807198,5
5407,L Gregory,18.41646984555438,34.546782233228555,18.072289156626507,45.244215938303334,36.64538539748248,43.66338102638424,20.99599024815091,353
5408,L Greig,0.09142658119006933,0.04952852652633584,0.0,0.2570694087403599,0.09644431707483635,0.07889377621884584,0.08056288958807759,3
5409,L Griffith,0.23509692306017826,0.7600723878464616,1.2048192771084336,5.912596401028278,1.774825518198317,2.0052937916612317,1.0937635770714649,47
5410,L Guthrie,0.23183168801767579,3.4714417246086926,0.0,2.442159383033419,1.9222601203482466,3.312500314233008,0.38331495111394737,20
5411,L Harris,5.002340085113793,0.0,7.228915662650603,17.223650385604113,7.647834825567126,5.538728777317797,6.892443788423867,135
5412,L Haskett,0.05823002492462748,1.8363653681302978,0.0,0.6426735218508998,0.8973671394462925,1.6598744024800949,0.09920536713986645,6
5413,L Heap,1.1787498503433937,0.6857795980569578,0.0,3.7275064267352183,1.3221366368076897,1.1163013799198045,1.0800005528795582,30
5414,L Holmgaard,0.0,0.1257262596437756,1.2048192771084336,0.12853470437017994,0.5844194891562731,0.6401785657884917,0.374299253569548,2
5415,L Hyde,0.09795705127507427,0.06857795980569577,0.0,0.5141388174807198,0.14379296833401906,0.13175614043443504,0.11018811251311654,5
5416,L Idambo,0.29060591878272035,1.4972854557576911,2.4096385542168672,4.113110539845758,2.3695948796905166,2.8932820729134052,1.3085661715192682,33
5417,L Iglesias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5418,L Jack,2.435865341706847,0.0,1.2048192771084336,8.611825192802057,2.770753627324816,1.7403591378223358,2.684147507436844,68
5419,L Jackson,0.5681508973954308,2.1373464139441847,0.0,4.113110539845758,1.7346895273473886,2.4109364741452306,0.7522015924218344,33
5420,L Jacob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5421,L Jevremovic,0.0,0.0,0.0,0.12853470437017994,0.018231811381288914,0.018296365856776933,0.012853470437017995,2
5422,L Jhon,0.07183517093505447,0.0,0.0,0.0,0.03056805459929329,0.0,0.04310110256103268,1
5423,L Jie,0.055508995722542094,0.5714829983807982,0.0,1.4138817480719796,0.46735412792097913,0.6893489994856076,0.17469357224072327,12
5424,L Jones,0.024489262818768568,0.17906467282598343,0.0,0.38560411311053977,0.14131383760413396,0.20782364308946333,0.05325396900231512,4
5425,L Kamarlekar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5426,L Karlsson,0.14040510682760646,0.4838556052957424,0.0,1.7994858611825193,0.5208873183393326,0.6693977875465755,0.26419165021481583,15
5427,L Kenton,0.0,0.06476807314982379,0.0,0.0,0.027560789103220552,0.05531675050692027,0.0,1
5428,L Keny,0.4995809615028788,0.19811410610534336,1.2048192771084336,4.241645244215938,1.411227613405401,1.2874868767130878,1.0853588844558513,34
5429,L Khotso,0.0,0.10667682636441567,0.0,0.2570694087403599,0.0818578636384705,0.127702673724952,0.02570694087403599,3
5430,L Kishan Singha,0.25795356835769556,0.308600819125631,0.0,1.6709511568123396,0.4780997070711675,0.5014208026710731,0.3218672566958513,14
5431,L Klazinga,0.2699260968468713,1.8719243102517695,0.0,2.442159383033419,1.2578270430090672,1.9463935051454375,0.40617159641146466,20
5432,L Klokgieters,0.06203946580754704,0.5886274883322221,0.0,1.9280205655526992,0.5503557904985273,0.7771771321645471,0.23002573603979815,16
5433,L Klusener,0.5322333119279036,0.9829507572149728,1.2048192771084336,1.4138817480719796,1.3579942483049467,1.555275686947853,0.8221739450964701,12
5434,L Kooagile,0.0032652350425024755,0.03809886655871988,0.0,0.5141388174807198,0.09052893143664364,0.10572472843117849,0.05337302277357347,5
5435,L Krvaric,0.2971363888677253,0.24764263263167924,0.0,0.38560411311053977,0.28651551137036974,0.26639432009679065,0.21684224463168916,4
5436,L Kumari,0.006530470085004951,0.0,0.0,0.0,0.0027789140544812073,0.0,0.0039182820510029704,1
5437,L Lamin,1.2505850212784482,0.5752928850366701,1.2048192771084336,3.9845758354755776,1.8548401728622108,1.5730328685398343,1.5102543794471566,32
5438,L Lee,26.071269196861017,0.297171159158015,38.554216867469876,37.660668380462724,32.96849007264035,22.078725476452394,30.975093416403844,294
5439,L Leisner,0.23836215810268072,0.0,0.0,0.7712082262210798,0.21082123127629757,0.1097781951406616,0.2201381174837164,7
5440,L Little,0.2514230982726906,0.6362510715306219,0.0,3.8560411311053984,0.9246867549031255,1.0922967012712894,0.5364579720741542,31
5441,L Louwrens,3.1509518160148895,0.0,2.4096385542168672,5.141388174807198,3.095473131452675,1.7608598851076398,3.1276014733547135,41
5442,L Mabhero,0.013060940170009902,1.0286693970854366,0.0,2.570694087403599,0.8079242356094202,1.244487472245449,0.2649059728423659,21
5443,L Makhosi,0.0,0.12953614629964758,0.0,0.8997429305912595,0.18274425787546353,0.2387080620112791,0.08997429305912596,8
5444,L Malino,0.0032652350425024755,0.5829126583484141,0.0,1.1568123393316196,0.4135228613878259,0.6625180472732749,0.11764037495866346,10
5445,L Mamba,0.0032652350425024755,0.06857795980569577,0.0,0.12853470437017994,0.048803280400174814,0.07686704286410428,0.014812611462519481,2
5446,L Maphane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5447,L Maritz,0.4244805555253218,1.3029812363082198,0.0,3.7275064267352183,1.2638101714399177,1.6434374729857506,0.6274389759887149,30
5448,L Marshall,0.871817756348161,0.0,0.0,3.4704370179948585,0.863243933568042,0.4940018781329771,0.8701343556083825,28
5449,L Mbane,0.039182820510029706,0.42289741880179066,2.4096385542168672,2.956298200514139,1.6413355316256135,1.8110075070876173,1.0420310786224918,24
5450,L McCarthy,1.2865026067459753,2.4535670063815602,3.6144578313253013,4.627249357326478,3.7859207859756343,4.29770571336097,2.3189638491778233,37
5451,L Meyer,0.022856645297517332,0.007619773311743974,0.0,0.0,0.012968644967533706,0.006507853000814149,0.013713987178510401,1
5452,L Mills,0.11101799144508419,0.8686541575388131,0.0,5.655526992287917,1.2190800582637331,1.5469353397909977,0.6321634940958423,45
5453,L Moises,0.022856645297517332,0.1600152395466235,0.0,0.38560411311053977,0.13251299464838998,0.19155401058742794,0.05227439848956437,4
5454,L Monanthane,0.035917585467527234,0.08762739308505571,0.0,0.2570694087403599,0.08903577649599345,0.11143304122291658,0.04725749215455233,3
5455,L Mophakedi,1.7697573930363422,0.041908753214591865,0.0,5.012853470437018,1.4819598044073474,0.7493514599187783,1.5631397828655071,40
